month,channel,visitors,leads,mqls,sqls,customers,revenue
Jan 2025,Organic Search,3800,420,210,130,42,18900
Jan 2025,Paid Search,2600,310,155,100,38,17100
Jan 2025,Social Media,2100,190,85,50,14,6300
Jan 2025,Email,1700,230,130,80,29,13050
Jan 2025,Referral,1200,100,50,30,9,4050
Jan 2025,Direct,700,60,28,16,4,1800
Feb 2025,Organic Search,4100,460,230,140,46,20700
Feb 2025,Paid Search,2800,340,170,110,41,18450
Feb 2025,Social Media,2200,200,90,55,16,7200
Feb 2025,Email,1800,250,140,88,32,14400
Feb 2025,Referral,1300,110,55,33,10,4500
Feb 2025,Direct,750,65,30,18,5,2250
Mar 2025,Organic Search,4500,510,255,155,52,23400
Mar 2025,Paid Search,3100,380,190,122,45,20250
Mar 2025,Social Media,2500,225,100,62,18,8100
Mar 2025,Email,1950,270,150,95,35,15750
Mar 2025,Referral,1400,120,60,36,11,4950
Mar 2025,Direct,800,70,33,20,6,2700
Apr 2025,Organic Search,4700,530,265,162,55,24750
Apr 2025,Paid Search,3300,400,200,128,47,21150
Apr 2025,Social Media,2700,243,108,67,19,8550
Apr 2025,Email,2100,290,162,102,37,16650
Apr 2025,Referral,1500,130,65,39,12,5400
Apr 2025,Direct,850,74,35,21,6,2700
May 2025,Organic Search,5000,570,285,174,59,26550
May 2025,Paid Search,3500,430,215,138,51,22950
May 2025,Social Media,2900,261,116,72,21,9450
May 2025,Email,2200,308,172,108,39,17550
May 2025,Referral,1600,140,70,42,13,5850
May 2025,Direct,900,79,37,22,7,3150
Jun 2025,Organic Search,5400,614,307,187,63,28350
Jun 2025,Paid Search,3800,466,233,149,55,24750
Jun 2025,Social Media,3200,288,128,79,23,10350
Jun 2025,Email,2400,336,188,118,43,19350
Jun 2025,Referral,1800,157,78,47,14,6300
Jun 2025,Direct,1000,87,41,25,8,3600
